2019-05-16 08:31:04.324 [main] ERROR o.s.boot.logging.LoggingApplicationListener - Cannot set level: debug  for 'org.springframework.web'
2019-05-16 08:31:04.637 [main] INFO  com.gd.MaApplication - Starting MaApplication on DESKTOP-EV4OCOI with PID 14572 (E:\FrConfig\zhy_server_jwt\classes\production\zhy_server started by qiemengyan in E:\FrConfig\zhy_server_jwt)
2019-05-16 08:31:04.637 [main] INFO  com.gd.MaApplication - The following profiles are active: prod
2019-05-16 08:31:04.731 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@35cabb2a: startup date [Thu May 16 08:31:04 CST 2019]; root of context hierarchy
2019-05-16 08:31:04.793 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2019-05-16 08:31:06.199 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3e24a26d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-05-16 08:31:06.371 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$8736d88b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-05-16 08:31:06.964 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 9191 (http)
2019-05-16 08:31:06.996 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2019-05-16 08:31:06.996 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.6
2019-05-16 08:31:07.105 [localhost-startStop-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/ma] - Initializing Spring embedded WebApplicationContext
